posx RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,posy RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,,x,y
190,1016.75,190,1186.554846,,991.75,-161.5548461
191,1016.75,191,1200.43186,,991.75,-175.4318604
192,1016.75,192,1214.300475,,991.75,-189.3004753
193,1016.75,193,1228.167109,,991.75,-203.167109
194,1016.75,194,1242.032727,,991.75,-217.0327274
195,1016.75,195,1255.902468,,991.75,-230.9024677
196,1016.75,196,1269.765622,,991.75,-244.7656222
197,1016.75,197,1283.637817,,991.75,-258.6378169
198,1016.75,198,1297.511201,,991.75,-272.5112007
199,1016.75,199,1311.380882,,991.75,-286.3808816
200,1016.75,200,1325.253736,,991.75,-300.2537359
201,1016.75,201,1339.120126,,991.75,-314.1201257
202,1016.75,202,1352.989297,,991.75,-327.989297
203,1016.75,203,1366.858188,,991.75,-341.8581883
204,1016.75,204,1380.727232,,991.75,-355.7272322
205,1016.75,205,1394.599264,,991.75,-369.5992644
206,1016.75,206,1408.465009,,991.75,-383.4650087
207,1016.75,207,1422.330461,,991.75,-397.330461
208,1016.75,208,1436.191902,,991.75,-411.1919016
209,1016.75,209,1450.059541,,991.75,-425.0595407
210,1016.75,210,1463.934413,,991.75,-438.9344126
211,1016.75,211,1477.805396,,991.75,-452.8053959
212,1016.75,212,1490.38245,,991.75,-465.3824504
213,1016.75,213,1499.720992,,991.75,-474.7209922
214,1016.75,214,1506.114506,,991.75,-481.1145055
215,1016.75,215,1510.107555,,991.75,-485.1075547
216,1016.69179,216,1514.06666,,991.6917901,-489.0666603
217,1013.594889,217,1516.75,,988.5948887,-491.75
218,1008.338435,218,1516.75,,983.3384348,-491.75
219,1002.461568,219,1516.75,,977.4615682,-491.75
220,995.9671556,220,1516.75,,970.9671556,-491.75
221,988.8094672,221,1516.75,,963.8094672,-491.75
222,981.0412406,222,1516.75,,956.0412406,-491.75
